Date,Open,High,Low,Close,Volume,Currency
2018-07-27,0.9926,0.9941,0.9876,0.9941,1689,USD
2018-07-28,0.9941,0.9941,0.99,0.99,2907,USD
2018-07-29,0.99,0.99,0.99,0.99,0,USD
2018-07-30,0.99,0.9999,0.99,0.99,3231,USD
2018-07-31,0.99,0.998,0.99,0.9956,800,USD
2018-08-01,0.9956,0.9956,0.9925,0.9955,1566,USD
2018-08-02,0.9955,0.9974,0.9921,0.9921,81,USD
2018-08-03,0.9921,0.9921,0.9884,0.9884,937,USD
2018-08-04,0.9884,0.9918,0.9877,0.9918,534,USD
2018-08-05,0.9918,0.9956,0.9918,0.9956,14,USD
2018-08-06,0.9956,0.9956,0.9877,0.9956,748,USD
2018-08-07,0.9956,1.03,0.9877,0.9952,593,USD
2018-08-08,0.9952,0.9958,0.9875,0.9925,3669,USD
2018-08-09,0.9925,1.0,0.992,1.0,1704,USD
2018-08-10,1.0,1.008,0.9726,0.9949,5255,USD
2018-08-11,0.9949,0.9949,0.9731,0.9928,5214,USD
2018-08-12,0.9928,0.9955,0.931,0.9955,1087,USD
2018-08-13,0.9955,0.9965,0.9435,0.9851,695,USD
2018-08-14,0.9851,1.0061,0.9323,0.9798,170,USD
2018-08-15,0.9798,0.9798,0.9328,0.944,40,USD
2018-08-16,0.944,0.9968,0.944,0.9771,89,USD
2018-08-17,0.9771,0.9771,0.9601,0.9601,59,USD
2018-08-18,0.9601,0.997,0.9601,0.997,152,USD
2018-08-19,0.997,1.0063,0.9752,0.9752,207,USD
2018-08-20,0.9752,0.9781,0.9752,0.9781,240,USD
2018-08-21,0.9781,1.0074,0.9781,0.9964,42,USD
2018-08-22,0.9964,1.0074,0.98,0.9828,948,USD
2018-08-23,0.9828,1.001,0.9813,0.9813,883,USD
2018-08-24,0.9813,0.9999,0.9813,0.995,2470,USD
2018-08-25,0.995,1.0,0.995,1.0,160,USD
2018-08-26,1.0,1.0,0.995,0.995,163,USD
2018-08-27,0.995,0.996,0.995,0.996,1,USD
2018-08-28,0.996,1.002,0.996,1.0001,769,USD
2018-08-29,1.0001,1.005,0.998,1.005,2011,USD
2018-08-30,1.005,1.005,0.998,1.0045,2352,USD
2018-08-31,1.0045,1.0045,0.998,1.0022,24,USD
2018-09-01,1.0022,1.0022,0.99,0.99,1979,USD
2018-09-02,0.99,1.005,0.99,0.9992,10226,USD
2018-09-03,0.9992,0.9992,0.9992,0.9992,0,USD
2018-09-04,0.9992,1.03,0.9992,0.9992,10,USD
2018-09-05,0.9992,1.009,0.9992,1.009,185,USD
